SourceFile,FileName,GPSLatitude,GPSLongitude,GPSAltitude,CreateDate,relativealtitude
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094926_088.JPG,2021_0715_094926_088.JPG,58.6513183333333,-134.208561194444,1136.7,2021:07:15 09:49:26,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094929_089.JPG,2021_0715_094929_089.JPG,58.6512858055556,-134.208642555556,1134.7,2021:07:15 09:49:29,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094932_090.JPG,2021_0715_094932_090.JPG,58.6513264722222,-134.208675111111,1134.9,2021:07:15 09:49:32,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094935_091.JPG,2021_0715_094935_091.JPG,58.6513915833333,-134.208626277778,1135.4,2021:07:15 09:49:35,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094938_092.JPG,2021_0715_094938_092.JPG,58.6513915833333,-134.208528638889,1135.9,2021:07:15 09:49:38,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094941_093.JPG,2021_0715_094941_093.JPG,58.6513508888889,-134.208463527778,1135.7,2021:07:15 09:49:41,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094944_094.JPG,2021_0715_094944_094.JPG,58.6512776666667,-134.20844725,1135.2,2021:07:15 09:49:44,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094947_095.JPG,2021_0715_094947_095.JPG,58.6512369722222,-134.208349583333,1134.2,2021:07:15 09:49:47,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094950_096.JPG,2021_0715_094950_096.JPG,58.6513183333333,-134.2082845,1134.4,2021:07:15 09:49:50,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094953_097.JPG,2021_0715_094953_097.JPG,58.6513671666667,-134.208203111111,1135.1,2021:07:15 09:49:53,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094956_098.JPG,2021_0715_094956_098.JPG,58.6513346111111,-134.208186833333,1135,2021:07:15 09:49:56,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094959_099.JPG,2021_0715_094959_099.JPG,58.6512695277778,-134.208203111111,1133.6,2021:07:15 09:49:59,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_095002_100.JPG,2021_0715_095002_100.JPG,58.6511881388889,-134.208121722222,1132.2,2021:07:15 09:50:02,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_095005_101.JPG,2021_0715_095005_101.JPG,58.6512125555556,-134.20797525,1131.1,2021:07:15 09:50:05,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_095008_102.JPG,2021_0715_095008_102.JPG,58.6512451111111,-134.20782875,1132.3,2021:07:15 09:50:08,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_095011_103.JPG,2021_0715_095011_103.JPG,58.6512044166667,-134.207763666667,1132.7,2021:07:15 09:50:11,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_095014_104.JPG,2021_0715_095014_104.JPG,58.6511474444444,-134.207682277778,1132.9,2021:07:15 09:50:14,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_095017_105.JPG,2021_0715_095017_105.JPG,58.6510823333333,-134.207731111111,1134.8,2021:07:15 09:50:17,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_095020_106.JPG,2021_0715_095020_106.JPG,58.6510091111111,-134.207617166667,1135.1,2021:07:15 09:50:20,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_095023_107.JPG,2021_0715_095023_107.JPG,58.6510660555556,-134.20750325,1135.6,2021:07:15 09:50:23,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_095026_108.JPG,2021_0715_095026_108.JPG,58.6510823333333,0,1136,2021:07:15 09:50:26,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_095029_109.JPG,2021_0715_095029_109.JPG,58.6510497777778,-134.207421861111,1134.6,2021:07:15 09:50:29,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_095032_110.JPG,2021_0715_095032_110.JPG,58.6509928333333,-134.207438138889,1133.1,2021:07:15 09:50:32,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_095035_111.JPG,2021_0715_095035_111.JPG,58.6509765555556,-134.207340472222,1131.3,2021:07:15 09:50:35,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_095038_112.JPG,2021_0715_095038_112.JPG,58.6510497777778,0.0141666666666667,1132,2021:07:15 09:50:38,-
